task_id,optimizer_id,seed,level_3,n_trials,n_function_calls,trial_info__config,trial_info__instance,trial_info__seed,trial_info__budget,trial_info__normalized_budget,trial_info__name,trial_info__checkpoint,trial_info__cutoff,trial_value__cost,trial_value__time,trial_value__virtual_time,trial_value__status,trial_value__starttime,trial_value__endtime,status,benchmark_id,task.optimization_resources.n_trials,trial_value__cost_raw,trial_value__cost_inc,task_type,time,experiment_id
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,0,1,1,"[-0.4898385703564, 0.7631938811392]",None,620469749,None,None,None,None,None,-76.39179040876795,8.58306884765625e-06,0.0,1,1771835175.8115096,1771835175.8115182,COMPLETED,BBOB,77,-76.39179040876795,-76.39179040876795,blackbox,0.0,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,1,2,2,"[1.1974233854562, -0.5262149777263]",None,620469749,None,None,None,None,None,-81.65241656427091,4.5299530029296875e-06,0.0,1,1771835175.8145776,1771835175.814582,COMPLETED,BBOB,77,-81.65241656427091,-81.65241656427091,blackbox,0.0030679702758789062,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,2,3,3,"[3.523254795, 3.0446898750961]",None,620469749,None,None,None,None,None,-35.23346167341732,3.814697265625e-06,0.0,1,1771835175.8179274,1771835175.8179312,COMPLETED,BBOB,77,-35.23346167341732,-81.65241656427091,blackbox,0.006417751312255859,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,3,4,4,"[-2.8172844834626, -3.2422811537981]",None,620469749,None,None,None,None,None,-88.05067920175388,3.337860107421875e-06,0.0,1,1771835175.8202136,1771835175.820217,COMPLETED,BBOB,77,-88.05067920175388,-88.05067920175388,blackbox,0.008703947067260742,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,4,5,5,"[-3.7640014570206, 4.0282166562974]",None,620469749,None,None,None,None,None,-29.906381603082416,3.337860107421875e-06,0.0,1,1771835175.823169,1771835175.8231723,COMPLETED,BBOB,77,-29.906381603082416,-88.05067920175388,blackbox,0.011659383773803711,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,5,6,6,"[4.4712216407061, -4.7629374265671]",None,620469749,None,None,None,None,None,-63.944625611066236,3.0994415283203125e-06,0.0,1,1771835175.8252418,1771835175.825245,COMPLETED,BBOB,77,-63.944625611066236,-88.05067920175388,blackbox,0.013732194900512695,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,6,7,7,"[2.1441594325006, 2.2423298563808]",None,620469749,None,None,None,None,None,-54.386260300605095,3.337860107421875e-06,0.0,1,1771835175.827208,1771835175.8272114,COMPLETED,BBOB,77,-54.386260300605095,-88.05067920175388,blackbox,0.01569843292236328,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,7,8,8,"[-1.4377863425761, -1.5463863965124]",None,620469749,None,None,None,None,None,-89.11185058302081,4.5299530029296875e-06,0.0,1,1771835175.8292415,1771835175.829246,COMPLETED,BBOB,77,-89.11185058302081,-89.11185058302081,blackbox,0.017731904983520508,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,8,9,9,"[-1.9086721539497, 3.6274176929146]",None,620469749,None,None,None,None,None,-43.61995529256669,3.0994415283203125e-06,0.0,1,1771835175.8324792,1771835175.8324823,COMPLETED,BBOB,77,-43.61995529256669,-89.11185058302081,blackbox,0.020969629287719727,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,9,10,10,"[1.3650463987142, -2.5850807968527]",None,620469749,None,None,None,None,None,-88.03516386012036,3.337860107421875e-06,0.0,1,1771835175.83456,1771835175.8345633,COMPLETED,BBOB,77,-88.03516386012036,-89.11185058302081,blackbox,0.023050308227539062,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,10,11,11,"[3.9997246395797, 0.1032460480928]",None,620469749,None,None,None,None,None,-59.47377931044707,3.337860107421875e-06,0.0,1,1771835175.836861,1771835175.8368642,COMPLETED,BBOB,77,-59.47377931044707,-89.11185058302081,blackbox,0.025351285934448242,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,11,12,12,"[-4.5425056107342, -1.1068074591458]",None,620469749,None,None,None,None,None,-73.0184466798699,3.337860107421875e-06,0.0,1,1771835175.8390496,1771835175.839053,COMPLETED,BBOB,77,-73.0184466798699,-89.11185058302081,blackbox,0.027539968490600586,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,12,13,13,"[-3.5957874637097, 1.5738473832607]",None,620469749,None,None,None,None,None,-60.693635787460316,3.0994415283203125e-06,0.0,1,1771835175.8412232,1771835175.8412263,COMPLETED,BBOB,77,-60.693635787460316,-89.11185058302081,blackbox,0.02971363067626953,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,13,14,14,"[3.0517589300871, -2.1379739977419]",None,620469749,None,None,None,None,None,-77.50792393694347,3.337860107421875e-06,0.0,1,1771835175.8434343,1771835175.8434377,COMPLETED,BBOB,77,-77.50792393694347,-89.11185058302081,blackbox,0.03192472457885742,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,14,15,15,"[0.4183091782033, 4.6170585695654]",None,620469749,None,None,None,None,None,-29.33578625060899,2.86102294921875e-06,0.0,1,1771835175.845634,1771835175.8456368,COMPLETED,BBOB,77,-29.33578625060899,-89.11185058302081,blackbox,0.03412437438964844,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,15,16,16,"[-0.9607255179435, -4.0923178289086]",None,620469749,None,None,None,None,None,-91.88231313895537,3.0994415283203125e-06,0.0,1,1771835175.8479242,1771835175.8479273,COMPLETED,BBOB,77,-91.88231313895537,-91.88231313895537,blackbox,0.03641462326049805,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,16,17,17,"[-0.6866805952622, -3.1559433069369]",None,620469749,None,None,None,None,None,-92.63795754945053,6.67572021484375e-06,0.0,1,1771835176.2239592,1771835176.223966,COMPLETED,BBOB,77,-92.63795754945053,-92.63795754945053,blackbox,0.41244959831237793,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,17,18,18,"[-0.4503116409446, -3.3421327636244]",None,620469749,None,None,None,None,None,-92.59451857375505,5.4836273193359375e-06,0.0,1,1771835176.7015069,1771835176.7015123,COMPLETED,BBOB,77,-92.59451857375505,-92.63795754945053,blackbox,0.8899972438812256,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,18,19,19,"[-0.7296630007293, -3.3274943503678]",None,620469749,None,None,None,None,None,-92.64283601758002,5.4836273193359375e-06,0.0,1,1771835177.0871422,1771835177.0871477,COMPLETED,BBOB,77,-92.64283601758002,-92.64283601758002,blackbox,1.275632619857788,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,19,20,20,"[-0.6646421922411, -3.2661265889429]",None,620469749,None,None,None,None,None,-92.64993169033436,5.4836273193359375e-06,0.0,1,1771835177.56276,1771835177.5627656,COMPLETED,BBOB,77,-92.64993169033436,-92.64993169033436,blackbox,1.7512505054473877,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,20,21,21,"[-4.9949279096278, -4.9998966732853]",None,620469749,None,None,None,None,None,-70.9586498671707,8.821487426757812e-06,0.0,1,1771835178.0987792,1771835178.098788,COMPLETED,BBOB,77,-70.9586498671707,-92.64993169033436,blackbox,2.2872695922851562,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,21,22,22,"[-0.6866805952622, -3.2592907863109]",None,620469749,None,None,None,None,None,-92.6497769776397,6.198883056640625e-06,0.0,1,1771835178.6308124,1771835178.6308186,COMPLETED,BBOB,77,-92.6497769776397,-92.64993169033436,blackbox,2.819302797317505,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,22,23,23,"[-0.6739309225216, -3.2661265889429]",None,620469749,None,None,None,None,None,-92.64999696117603,7.152557373046875e-06,0.0,1,1771835179.1965556,1771835179.1965628,COMPLETED,BBOB,77,-92.64999696117603,-92.64999696117603,blackbox,3.3850460052490234,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,23,24,24,"[-0.6699316134139, -3.2661265889429]",None,620469749,None,None,None,None,None,-92.64999001252018,7.62939453125e-06,0.0,1,1771835179.841979,1771835179.8419867,COMPLETED,BBOB,77,-92.64999001252018,-92.64999696117603,blackbox,4.0304694175720215,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,24,25,25,"[-0.6719132591901, -3.2661265889429]",None,620469749,None,None,None,None,None,-92.64999745385252,6.9141387939453125e-06,0.0,1,1771835180.3926787,1771835180.3926857,COMPLETED,BBOB,77,-92.64999745385252,-92.64999745385252,blackbox,4.581169128417969,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,25,26,26,"[-0.6729441729611, -3.2639396598926]",None,620469749,None,None,None,None,None,-92.64999923902906,7.3909759521484375e-06,0.0,1,1771835180.9655168,1771835180.9655242,COMPLETED,BBOB,77,-92.64999923902906,-92.64999923902906,blackbox,5.154007196426392,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,26,27,27,"[-0.6729441729611, -3.2645174367926]",None,620469749,None,None,None,None,None,-92.64999989937219,7.152557373046875e-06,0.0,1,1771835181.6318004,1771835181.6318076,COMPLETED,BBOB,77,-92.64999989937219,-92.64999989937219,blackbox,5.820290803909302,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,27,28,28,"[-0.6732125446024, -3.2661265889429]",None,620469749,None,None,None,None,None,-92.64999806996873,8.344650268554688e-06,0.0,1,1771835182.2791433,1771835182.2791517,COMPLETED,BBOB,77,-92.64999806996873,-92.64999989937219,blackbox,6.4676337242126465,0
bbob/2/1/0,SMAC3-BlackBoxFacade,39590,28,29,29,"[-0.6724893147128, -3.2639396598926]",None,620469749,None,None,None,None,None,-92.64999916328956,9.5367431640625e-06,0.0,1,1771835182.9255707,1771835182.9255803,COMPLETED,BBOB,77,-92.64999916328956,-92.64999989937219,blackbox,7.114061117172241,0
